movie_or_serie,title,release_year,duration_seconds,channel_streaming,action,comedy,adventure,animation,anime,drama,international,kids,horror
Movie,Mrs. Doubtfire,1993,126 min,disney_plus,0,1,0,0,0,1,0,0,0
TV Show,Cesar Millan: Better Human Better Dog,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Walt Disney Animation Studios: Short Circuit Experimental Films,2020,2 Seasons,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Built for Mars: The Perseverance Rover,2021,88 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Garfield,2004,82 min,disney_plus,0,1,0,0,0,0,0,0,0
TV Show,Chip 'n' Dale: Park Life,2021,1 Season,disney_plus,0,1,0,1,0,0,0,0,0
TV Show,Critter Fixers: Country Vets,2020,2 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Disney Junior T.O.T.S.,2018,2 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Mickey Mouse Funhouse,2021,1 Season,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Minnie's Bow-Toons: Party Palace Pals,2021,1 Season,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Turning the Tables with Robin Roberts,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Ice Age: The Meltdown,2006,94 min,disney_plus,0,1,0,1,0,0,0,0,0
Movie,Playing with Sharks,2021,91 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Shark vs. Surfer,2020,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Shark vs. Whale,2020,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Stuntman,2021,87 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Walking with Dinosaurs: The Movie,2013,88 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,What the Shark?,2020,44 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Behind the Attraction,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Disney The Owl House,2020,2 Seasons,disney_plus,0,0,0,1,1,0,0,0,0
TV Show,Meet Spidey and His Amazing Friends (Shorts),2021,1 Season,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Mission Force One,2017,1 Season,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Turner & Hooch,2021,1 Season,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Most Wanted Sharks,2020,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Secrets of the Bull Shark,2020,44 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Shark Attack Files,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Shark Attack Investigation: The Paige Winter Story,2021,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Sharkcano,2020,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,We Bought a Zoo,2011,125 min,disney_plus,0,0,0,0,0,1,0,0,0
Movie,World's Biggest Bullshark,2021,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,World's Most Dangerous Shark?,2021,44 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,So Random!,2011,1 Season,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Flicka,2006,95 min,disney_plus,0,0,0,0,0,1,0,0,0
Movie,"Miraculous World: Shanghai, The Legend of Ladydragon",2021,54 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Orca vs. Great White,2021,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Rogue Shark?,2021,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Shark Beach with Chris Hemsworth,2021,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Shark Gangs,2021,44 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,The Croc That Ate Jaws,2021,44 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,When Sharks Attack,2013,7 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Breaking Bobby Bones,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Mickey Mouse Mixed-Up Adventures,2019,1 Season,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Monsters at Work,2021,1 Season,disney_plus,0,1,0,1,0,0,0,0,0
Movie,"The Good, The Bart, and The Loki",2021,6 min,disney_plus,0,1,0,1,0,0,0,0,0
TV Show,Disney Raven's Home,2016,4 Seasons,disney_plus,0,1,0,0,0,0,0,0,0
Movie,The Sandlot,1993,101 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,The Sandlot 2,2005,98 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Adventures in Babysitting,1987,102 min,disney_plus,0,1,0,0,0,0,0,0,0
TV Show,Running Wild with Bear Grylls,2019,2 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,The Mysterious Benedict Society,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Wolfgang,2021,80 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Dino Ranch,2021,1 Season,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Disney Just Roll With It,2018,2 Seasons,disney_plus,0,1,0,0,0,0,0,0,0
TV Show,"Heartland Docs, DVM",2019,3 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Luca,2021,101 min,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,Star Wars Vintage: Droids,1985,2 Seasons,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,Puppy Dog Pals,2016,4 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
Movie,Strange Magic,2015,101 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,The Happiest Millionaire,1967,170 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,The Pacifier,2005,97 min,disney_plus,0,1,0,0,0,0,0,0,0
TV Show,Zenimation,2020,2 Seasons,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,Loki,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Gordon Ramsay: Uncharted,2018,3 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,MUPPET BABIES,2017,3 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
Movie,Raya and the Last Dragon,2021,112 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Red Tails,2012,126 min,disney_plus,0,0,0,0,0,1,0,0,0
Movie,Us Again,2021,7 min,disney_plus,0,0,0,1,0,0,0,0,0
Movie,American Eid,2021,21 min,disney_plus,0,0,0,0,0,1,0,0,0
TV Show,Bluey,2019,2 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
Movie,Dinner Is Served,2021,21 min,disney_plus,0,0,0,0,0,1,0,0,0
TV Show,Disney Sydney To The Max,2018,3 Seasons,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Growing Fangs,2021,20 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Kingdom of the Polar Bears,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Let's Be Tigers,2021,15 min,disney_plus,0,0,0,0,0,1,0,0,0
Movie,The Last of the Chupacabras,2021,14 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,The Little Prince(ss),2021,19 min,disney_plus,0,0,0,0,0,1,0,0,0
TV Show,Wicked Tuna,2016,10 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Big City Greens,2017,2 Seasons,disney_plus,0,1,0,1,0,0,0,0,0
TV Show,Fury Files,2013,1 Season,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,Ice Road Rescue,2015,5 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Tinker Bell and the Legend of the NeverBeast,2014,79 min,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,Schoolhouse Rock!,1973,6 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Disney Special Agent Oso: Three Healthy Steps (Shorts),2011,1 Season,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Race to the Center of the Earth,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Special Agent Oso,2009,2 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
Movie,X-Men: The Last Stand,2006,105 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,The Incredible Hulk,1996,2 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
Movie,Fantastic Four: Rise of the Silver Surfer,2007,93 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Wander Over Yonder,2013,2 Seasons,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Wild Hearts Can't Be Broken,1991,89 min,disney_plus,0,0,0,0,0,1,0,0,0
Movie,"Maggie Simpson in ""The Force Awakens from its Nap""",2021,4 min,disney_plus,0,1,0,1,0,0,0,0,0
Movie,Star Wars Biomes,2021,18 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Star Wars Vehicle Flythroughs,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,The Bad Batch,2021,1 Season,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,Spider-Man,1994,5 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
Movie,22 vs. Earth,2021,9 min,disney_plus,0,1,0,1,0,0,0,0,0
TV Show,Adventures in Wonderland,1996,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Disney My Music Story SUKIMASWITCH,2020,81 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,DuckTales,2017,3 Seasons,disney_plus,0,1,0,1,0,0,0,0,0
Movie,Oklahoma!,1956,148 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Baby's Day Out,1994,99 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Being the Queen,2020,44 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Liv and Maddie,2013,4 Seasons,disney_plus,0,1,0,0,0,0,0,1,0
TV Show,Secrets of the Whales,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Big Shot,2021,1 Season,disney_plus,0,1,0,0,0,1,0,0,0
TV Show,Earth Moods,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Primal Survivor,2014,5 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Rio,2011,99 min,disney_plus,0,1,0,1,0,0,0,0,0
Movie,The Kid Who Would Be King,2019,121 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Treasure Buddies,2012,96 min,disney_plus,0,1,0,0,0,0,0,1,0
Movie,White Fang 2: Myth of the White Wolf,1994,106 min,disney_plus,0,0,0,0,0,1,0,0,0
Movie,Cesar Millan: The Real Story,2012,45 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Future-Worm!,2016,1 Season,disney_plus,0,0,0,0,0,0,0,1,0
TV Show,Kick Buttowski: Suburban Daredevil,2010,2 Seasons,disney_plus,0,0,0,1,0,0,0,0,0
Movie,Man of the House,1995,97 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Mark Twain and Me,1991,93 min,disney_plus,0,0,0,0,0,1,0,0,0
Movie,Squanto: A Warrior's Tale,1994,102 min,disney_plus,0,0,0,0,0,1,0,0,0
Movie,Caravan of Courage: An Ewok Adventure,1984,97 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Ewoks: The Battle for Endor,1985,97 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Higglytown Heroes,2004,2 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
Movie,Island at the Top of the World,1974,94 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Made in a Day,2020,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Night at the Museum,2006,109 min,disney_plus,0,1,0,0,0,0,0,0,0
TV Show,Secrets Of The Zoo,2017,4 Seasons,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Sharks Of The Bermuda Triangle,2020,45 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Star Wars Vintage: Clone Wars 2D Micro-Series,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Star Wars Vintage: Story of the Faithful Wookiee,2021,9 min,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,Star Wars: Ewoks,1985,2 Seasons,disney_plus,0,0,0,1,0,0,0,0,0
Movie,The Big Year,2011,101 min,disney_plus,0,1,0,0,0,0,0,0,0
Movie,The Last Ice,2020,82 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Third Man on the Mountain,1959,107 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Walk the Prank,2016,3 Seasons,disney_plus,0,1,0,0,0,0,0,0,0
Movie,Gnomeo & Juliet,2011,86 min,disney_plus,0,0,0,1,0,0,0,0,0
TV Show,Pickle and Peanut,2015,2 Seasons,disney_plus,0,1,0,0,0,0,0,0,0
TV Show,The Mighty Ducks: Game Changers,2021,1 Season,disney_plus,0,1,0,0,0,1,0,0,0
TV Show,Disney Big Hero 6 The Series,2017,3 Seasons,disney_plus,0,0,0,1,0,0,0,1,0
Movie,Disney My Music Story: Perfume,2019,53 min,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,Mexico Untamed,2018,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
TV Show,The Falcon and The Winter Soldier,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Doc McStuffins: The Doc Is In,2020,24 min,disney_plus,0,0,0,1,0,0,0,1,0
TV Show,Marvel Studios ASSEMBLED,2021,1 Season,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Miss Peregrine's Home for Peculiar Children,2016,127 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Own the Room,2021,91 min,disney_plus,0,0,0,0,0,0,0,0,0
Movie,Garfield: A Tail of Two Kitties,2006,79 min,disney_plus,0,1,0,0,0,0,0,1,0
